dates UTC, chainage (m)
2013-12-07 23:44:08+00:00,211.0
2013-12-08 23:33:05+00:00,221.1
2014-01-17 23:37:29+00:00,225.1
2014-02-01 23:39:24+00:00,237.9
2014-02-02 23:37:22+00:00,220.6
2014-02-10 23:33:34+00:00,228.1
2014-02-18 23:37:33+00:00,232.3
2014-03-06 23:37:18+00:00,232.0
2014-03-14 23:33:11+00:00,212.3
2014-03-22 23:36:42+00:00,209.1
2014-04-22 23:39:42+00:00,208.5
2014-04-23 23:36:36+00:00,206.0
2014-05-17 23:34:04+00:00,204.9
2014-05-24 23:39:53+00:00,215.6
2014-06-25 23:39:59+00:00,221.7
2014-06-26 23:36:03+00:00,218.6
2014-07-03 23:42:19+00:00,212.0
2014-07-04 23:33:51+00:00,218.5
2014-07-11 23:40:02+00:00,228.4
2014-07-12 23:36:36+00:00,217.2
2014-07-19 23:42:23+00:00,194.3
2014-07-27 23:40:08+00:00,241.7
2014-07-28 23:36:40+00:00,236.5
2014-08-04 23:42:31+00:00,249.2
2014-08-28 23:40:08+00:00,200.3
2014-08-29 23:36:49+00:00,201.7
2014-09-14 23:36:29+00:00,224.8
2014-09-22 23:34:04+00:00,216.4
2014-09-29 23:40:21+00:00,225.5
2014-09-30 23:36:53+00:00,225.8
2014-10-07 23:42:43+00:00,211.0
2014-10-16 23:36:58+00:00,224.5
2014-10-23 23:42:44+00:00,220.0
2014-10-24 23:34:50+00:00,238.9
2014-11-08 23:42:45+00:00,220.7
2014-11-09 23:34:35+00:00,220.4
2014-11-17 23:36:55+00:00,228.1
2014-11-24 23:42:42+00:00,227.3
2014-12-02 23:40:54+00:00,237.8
2014-12-18 23:41:02+00:00,226.6
2014-12-19 23:36:52+00:00,216.5
2015-01-03 23:41:03+00:00,224.9
2015-02-05 23:36:39+00:00,210.4
2015-02-28 23:42:17+00:00,213.0
2015-03-08 23:41:24+00:00,207.6
2015-03-25 23:36:15+00:00,201.8
2015-04-09 23:41:42+00:00,205.7
2015-04-17 23:41:54+00:00,216.2
2015-04-26 23:36:02+00:00,206.9
2015-05-03 23:41:41+00:00,208.7
2015-05-11 23:41:56+00:00,211.7
2015-05-12 23:35:22+00:00,208.3
2015-05-19 23:41:33+00:00,201.9
2015-05-28 23:35:24+00:00,217.9
2015-06-04 23:41:41+00:00,207.0
2015-06-20 23:41:50+00:00,211.1
2015-06-29 23:35:43+00:00,225.1
2015-07-06 23:41:59+00:00,232.8
2015-07-15 23:35:53+00:00,230.5
2015-07-31 23:35:57+00:00,240.3
2015-08-07 23:42:09+00:00,247.1
2015-08-16 23:36:04+00:00,237.0
2015-08-31 23:42:21+00:00,226.7
2015-09-08 23:42:23+00:00,247.7
2015-10-02 23:42:27+00:00,260.3
2015-10-18 23:42:47+00:00,264.9
2015-10-19 23:36:47+00:00,256.9
2015-10-26 23:42:37+00:00,251.5
2015-11-11 23:42:37+00:00,246.8
2015-11-19 23:43:18+00:00,262.9
2015-11-20 23:36:53+00:00,250.9
2015-12-05 23:43:31+00:00,241.9
2015-12-06 23:36:52+00:00,238.7
2015-12-21 23:43:47+00:00,251.5
2016-01-06 23:44:01+00:00,241.5
2016-01-23 23:36:49+00:00,233.4
2016-01-30 23:42:34+00:00,256.4
2016-02-08 23:36:20+00:00,236.8
2016-02-15 23:42:26+00:00,237.8
2016-02-23 23:44:23+00:00,230.1
2016-02-24 23:36:14+00:00,233.2
2016-03-11 23:36:35+00:00,234.6
2016-03-18 23:42:19+00:00,230.9
2016-03-27 23:36:26+00:00,236.9
2016-04-03 23:42:09+00:00,246.7
2016-04-19 23:42:04+00:00,244.8
2016-05-05 23:42:07+00:00,235.9
2016-05-13 23:44:55+00:00,236.6
2016-05-14 23:36:17+00:00,234.7
2016-05-29 23:45:00+00:00,225.7
2016-06-06 23:42:12+00:00,205.7
2016-06-15 23:36:02+00:00,209.6
2016-07-01 23:36:11+00:00,214.8
2016-07-08 23:42:26+00:00,211.6
2016-08-09 23:42:33+00:00,223.8
2016-08-18 23:36:26+00:00,227.1
2016-08-25 23:42:40+00:00,220.0
2016-09-02 23:45:12+00:00,229.9
2016-09-03 23:36:32+00:00,229.5
2016-09-10 23:42:44+00:00,230.5
2016-09-19 23:36:58+00:00,230.0
2016-09-26 23:42:45+00:00,236.7
2016-10-04 23:45:16+00:00,245.2
2016-10-05 23:37:01+00:00,238.2
2016-10-20 23:45:14+00:00,232.2
2016-11-05 23:45:08+00:00,235.5
2016-11-06 23:36:40+00:00,214.5
2016-11-13 23:42:51+00:00,220.7
2016-11-21 23:45:03+00:00,229.9
2016-11-22 23:37:04+00:00,234.0
2016-11-29 23:42:51+00:00,215.4
2016-12-24 23:36:34+00:00,226.5
2016-12-31 23:42:44+00:00,228.9
2017-01-16 23:42:40+00:00,229.1
2017-01-24 23:44:33+00:00,234.4
2017-02-01 23:42:33+00:00,241.9
2017-02-09 23:44:25+00:00,214.8
2017-02-10 23:36:17+00:00,222.9
2017-02-17 23:42:26+00:00,237.6
2017-04-15 23:35:47+00:00,208.0
2017-05-01 23:35:37+00:00,198.7
2017-05-16 23:45:00+00:00,212.7
2017-05-24 23:42:03+00:00,207.3
2017-06-01 23:45:04+00:00,203.3
2017-06-02 23:35:57+00:00,192.2
2017-06-18 23:36:28+00:00,193.4
2017-06-25 23:42:16+00:00,209.1
2017-07-03 23:45:10+00:00,222.2
2017-07-04 23:36:07+00:00,221.1
2017-07-11 23:42:19+00:00,223.1
2017-07-19 23:45:10+00:00,237.3
2017-07-20 23:36:13+00:00,220.1
2017-07-27 23:42:27+00:00,216.1
2017-08-04 23:45:09+00:00,228.1
2017-08-05 23:36:20+00:00,225.7
2017-08-12 23:42:33+00:00,229.8
2017-08-21 23:36:25+00:00,216.9
2017-08-28 23:42:37+00:00,215.2
2017-09-05 23:45:07+00:00,233.6
2017-09-06 23:36:51+00:00,225.5
2017-09-21 23:45:06+00:00,229.3
2017-09-22 23:36:31+00:00,238.8
2017-10-23 23:45:09+00:00,237.5
2017-10-24 23:36:38+00:00,245.6
2017-11-24 23:45:03+00:00,246.1
2017-11-25 23:36:31+00:00,234.5
2017-12-10 23:44:55+00:00,228.1
2018-01-03 23:42:39+00:00,226.1
2018-01-12 23:36:48+00:00,236.5
2018-01-19 23:42:31+00:00,221.3
2018-02-13 23:36:09+00:00,233.2
2018-03-08 23:42:09+00:00,216.1
2018-03-17 23:36:17+00:00,227.9
2018-03-24 23:42:01+00:00,217.6
2018-04-01 23:43:28+00:00,222.8
2018-04-02 23:36:10+00:00,219.3
2018-04-09 23:41:53+00:00,210.3
2018-04-18 23:36:00+00:00,213.3
2018-04-25 23:41:44+00:00,218.2
2018-05-03 23:42:55+00:00,215.1
2018-05-04 23:35:28+00:00,213.1
2018-05-11 23:41:34+00:00,214.3
2018-05-19 23:42:40+00:00,228.3
2018-05-20 23:35:40+00:00,221.2
2018-06-28 23:41:33+00:00,229.1
2018-07-07 23:35:27+00:00,224.1
2018-07-14 23:41:41+00:00,220.6
2018-07-22 23:41:30+00:00,237.4
2018-07-23 23:35:57+00:00,231.1
2018-07-30 23:41:48+00:00,233.5
2018-08-08 23:35:43+00:00,240.7
2018-08-15 23:41:57+00:00,232.4
2018-08-31 23:42:04+00:00,222.3
2018-09-08 23:40:34+00:00,232.9
2018-09-09 23:35:56+00:00,236.6
2018-09-16 23:42:09+00:00,232.1
2018-11-28 23:36:39+00:00,236.1
2018-12-05 23:42:25+00:00,230.4
2018-12-30 23:36:36+00:00,242.4
